team_id,team_name,club,event_age,gender,division,bracket,coverage,games_365,distinct_opponents,last_game_date,rating,in_db
77672,Midlothian Premier FC 2012 Girls,Midlothian Premier FC,U14,f,11v11 Bronze Crossover,Bracket B,RED,0,0,,,yes
279157,Metro West Wolves 16B Thiem,Metro West SC,U10,m,9v9 16s Silver Elite,Bracket B,RED,0,0,,,yes
499346,OK Energy FC 14B White,Oklahoma Energy FC,U13,m,11v11 Silver 14s,Bracket B,RED,0,0,,1532.91,yes
528941,Legacy United FC 12B - Mininni,Legacy United FC,U14,m,11v11 Bronze,Bracket A,RED,0,0,,,yes
518517,Solar 10G Megli GCL,Solar SC,U16,f,HS 2,Bracket A,RED,0,0,,,yes
550627,Liverpool FC Dallas 2016B,Liverpool FC Texas,U10,m,9v9 Bronze II Crossover,Bracket A,RED,0,0,,,yes
657201,Trinity FC - Castillo 17/18,Independent Teams - NTX,U9,m,7v7 Bronze II,Bracket A,RED,0,0,,,yes
582558,Current Elite 19G,Current Elite 2019G,U8,f,4v4 Bronze,Bracket B,RED,0,0,,1496.24,yes
644075,Soccerplex United 19/20B,Soccerplex United,U7,m,Gold 4v4,Bracket B,YELLOW,7,7,2026-06-11,1515.96,yes
441885,Soccerplex United 16B,Soccerplex United,U10,m,9v9 16s Silver,Bracket B,RED,0,0,,,yes
647555,ETFC 07G Muhr,East Texas Football Club,U19,f,Gold,Bracket A,MISSING,0,0,,,no
687693,Valley Academy Green,Mt. Pleasant Youth Soccer Association,U6,m,Bronze,Bracket B,MISSING,0,0,,,no
152149,Royal Peak FC 2015 White,Royal Peak FC,U11,m,Silver II,Bracket C,RED,0,0,,,yes
296905,Dallas Texans 2018 Boys Dallas Rojas,Dallas Texans,U9,m,18s,Bracket A,RED,0,0,,1522.83,yes
333287,Dallas Texans 2017 Boys Dallas Rojas,Dallas Texans,U10,m,9v9 17s,Bracket A,YELLOW,7,7,2026-01-18,,yes
65147,Fever United 14B Mee,Fever United,U13,m,11v11 Bronze 14s,Bracket A,RED,0,0,,,yes
81643,Coppell FC 14B Gee White,Coppell Youth SA,U12,m,9v9 Bronze II,Bracket A,RED,1,1,2026-03-29,,yes
513133,Coppell FC 11B Gee Grey,Coppell Youth SA,U15,m,DS Bronze,Bracket A,RED,0,0,,,yes
521835,Kernow Storm FC G16 Pre-ECNL Nelson,Kernow Storm FC,U10,f,9v9 DS Gold,Bracket B,RED,3,3,2025-12-07,,yes
83004,FC Dallas Youth North NPL NTX B10,FC Dallas Youth,U16,m,DS Bronze Crossover,Bracket A,RED,0,0,,,yes
388334,FC Dallas Youth North NPL NTX B12,FC Dallas Youth,U14,m,11v11 Bronze,Bracket C,RED,0,0,,,yes
679949,Solar 08B Volkan RLNTX,Solar SC,U18,m,DS 08-09,Bracket A,MISSING,0,0,,,no
334941,Dallas Cosmos 15G White,Dallas Cosmos Soccer Club,U11,f,9v9 Bronze,Bracket B,RED,0,0,,,yes
410178,Dallas Cosmos 14G Red,Dallas Cosmos Soccer Club,U12,f,9v9 Bronze II,Bracket A,RED,0,0,,,yes
